---
Mammal:            human
Fs:                200
Integration_level: electrocardiogram

Channels:

    - type:   electrography
      name:   Data1
      unit:   mV
      enable: yes
 
    - type:   electrography
      name:   data2
      unit:   millivolt
      enable: yes

    - type:   electrography
      name:   data3
      unit:   mV
      enable: yes
---

-0.02 0.08 0.09
-0.02 -0.02 -0.
-0.01 -0.00 -0.
0.02 0.22 0.20
0.02 0.21 0.18
0.01 0.16 0.15
0.00 0.12 0.12
0.00 0.11 0.10
0.00 0.13 0.12
0.02 0.15 0.13
0.03 0.14 0.12
0.02 0.13 0.12
0.02 0.13 0.12
0.03 0.14 0.12
0.04 0.15 0.12
0.05 0.15 0.13
0.05 0.15 0.13
0.04 0.14 0.13
0.05 0.15 0.13
0.05 0.16 0.14
0.05 0.16 0.14
0.06 0.17 0.15
0.07 0.18 0.14
0.08 0.17 0.16
0.08 0.18 0.16
0.08 0.18 0.16
0.09 0.17 0.16
0.11 0.20 0.16
0.11 0.21 0.17
0.13 0.23 0.18
0.15 0.25 0.18
0.16 0.23 0.18
0.14 0.21 0.17
0.12 0.20 0.18
0.14 0.23 0.20
0.16 0.26 0.20
0.15 0.24 0.19
0.14 0.23 0.19
0.14 0.23 0.20
0.15 0.25 0.21
0.14 0.26 0.22
0.14 0.25 0.22
0.11 0.22 0.21
0.10 0.23 0.21
0.08 0.21 0.19
0.06 0.16 0.14
0.04 0.13 0.12
0.02 0.17 0.17
0.01 0.21 0.21
-0.02 0.17 0.17
-0.04 0.12 0.14
-0.05 0.10 0.13
-0.06 0.10 0.13
-0.07 0.09 0.12
-0.08 0.07 0.10
-0.09 0.05 0.09
-0.10 0.04 0.08
-0.09 0.06 0.09
-0.10 0.05 0.08
-0.10 0.04 0.08
-0.10 0.04 0.08
-0.10 0.06 0.09
-0.09 0.07 0.10
-0.09 0.07 0.09
-0.09 0.06 0.08
-0.10 0.05 0.08
-0.10 0.04 0.08
-0.10 0.05 0.08
-0.10 0.06 0.08
-0.09 0.07 0.08
-0.08 0.08 0.09
-0.07 0.09 0.09
-0.08 0.07 0.07
-0.10 0.05 0.06
-0.11 0.04 0.05
-0.08 0.07 0.07
-0.07 0.07 0.06
-0.07 0.06 0.06
-0.11 0.03 0.04
-0.12 -0.03 0.0
-0.12 -0.07 -0.
-0.11 -0.04 -0.
-0.11 0.02 0.04
-0.10 0.07 0.09
-0.10 0.05 0.06
-0.10 0.02 0.03
-0.10 0.10 0.10
-0.10 0.04 0.06
-0.09 0.03 0.05
-0.10 -0.04 -0.
-0.11 -0.02 0.0
-0.10 0.06 0.08
-0.10 0.08 0.09
-0.09 0.10 0.10
-0.09 0.08 0.09
-0.09 0.06 0.08
-0.09 0.08 0.08
-0.08 0.06 0.07
-0.09 0.04 0.06
-0.07 0.05 0.05
-0.08 0.05 0.05
-0.08 0.04 0.06
-0.07 0.05 0.07
-0.08 0.04 0.05
-0.08 0.04 0.05
-0.07 0.05 0.06
-0.06 0.06 0.06
-0.04 0.09 0.08
-0.05 0.07 0.08
-0.06 0.05 0.08
-0.06 0.04 0.06
-0.01 0.08 0.05
0.00 0.09 0.04
-0.00 0.08 0.02
0.03 0.11 0.02
0.05 0.13 0.03
0.04 0.12 0.04
0.02 0.11 0.06
-0.00 0.09 0.08
-0.04 0.06 0.09
-0.06 0.05 0.10
-0.06 0.05 0.10
-0.08 0.04 0.09
-0.09 0.02 0.09
-0.10 0.01 0.09
-0.10 0.00 0.07
-0.09 0.00 0.07
-0.09 0.02 0.07
-0.09 0.01 0.07
-0.09 0.03 0.08
-0.09 0.06 0.12
-0.09 0.00 0.05
-0.09 0.01 0.05
-0.09 0.03 0.08
-0.09 0.05 0.10
-0.08 0.05 0.09
-0.07 0.07 0.08
-0.06 0.05 0.06
-0.11 0.04 0.11
-0.15 -0.01 0.0
-0.14 -0.01 0.0
-0.12 -0.01 0.0
-0.09 0.04 0.03
-0.07 0.09 0.10
-0.09 0.04 0.08
-0.12 0.04 0.11
-0.11 0.01 0.07
-0.11 0.04 0.09
-0.11 0.06 0.11
-0.12 0.13 0.18
-0.06 0.23 0.27
-0.12 0.29 0.32
-0.18 0.26 0.33
-0.35 0.10 0.22
-0.52 -0.14 0.0
-0.69 -0.44 -0.
-0.74 -0.50 -0.
-0.79 -0.57 -0.
-0.81 -0.61 -0.
-0.83 -0.64 -0.
-0.78 -0.62 -0.
-0.62 -0.51 -0.
-0.44 -0.35 -0.
-0.30 -0.21 -0.
-0.26 -0.18 -0.
-0.19 -0.11 0.0
-0.14 -0.06 0.0
-0.11 -0.03 0.0
-0.09 -0.01 0.0
-0.08 0.03 0.08
-0.07 0.04 0.08
-0.06 0.04 0.07
-0.06 0.03 0.06
-0.06 0.02 0.04
-0.05 0.01 0.04
-0.05 0.08 0.10
-0.05 0.07 0.09
-0.05 0.07 0.09
-0.02 0.10 0.09
0.00 0.09 0.06
-0.01 0.08 0.06
-0.05 0.07 0.09
-0.07 0.08 0.11
-0.08 0.03 0.08
-0.06 0.02 0.07
-0.05 0.05 0.08
-0.04 0.11 0.12
-0.04 0.08 0.10
-0.04 0.05 0.07
-0.05 0.02 0.04
-0.02 0.11 0.12
0.02 0.16 0.11
0.05 0.18 0.12
0.01 0.13 0.11
-0.03 0.11 0.13
-0.02 0.12 0.14
-0.02 0.11 0.13
-0.01 0.11 0.12
-0.00 0.13 0.14
0.01 0.14 0.13
0.02 0.14 0.13
0.03 0.11 0.09
0.07 0.18 0.14
0.10 0.23 0.17
0.09 0.21 0.17
0.05 0.18 0.18
0.04 0.17 0.18
0.08 0.21 0.19
0.09 0.21 0.19
0.14 0.25 0.19
0.17 0.26 0.18
0.15 0.24 0.18
0.14 0.23 0.18
0.12 0.22 0.21
0.12 0.24 0.22
0.15 0.26 0.21
0.16 0.26 0.21
0.16 0.25 0.19
0.14 0.25 0.21
0.13 0.24 0.20
0.12 0.22 0.18
0.10 0.19 0.15
0.08 0.18 0.15
0.05 0.17 0.16
0.04 0.17 0.16
0.02 0.15 0.12
